,precision,recall,f1-score,support
0,0.7913043478260869,0.9191919191919192,0.8504672897196262,99.0
1,0.7948717948717948,0.5636363636363636,0.6595744680851063,55.0
accuracy,0.7922077922077922,0.7922077922077922,0.7922077922077922,0.7922077922077922
macro avg,0.7930880713489409,0.7414141414141414,0.7550208789023662,154.0
weighted avg,0.7925784360566969,0.7922077922077922,0.7822912819930119,154.0
